",""source"",""target"",""type"",""weight"""
"349,""The Weeknd"",""Daft Punk"",""undirected"",1.17647058823529"
"350,""Maroon 5"",""Kendrick Lamar"",""undirected"",1.14285714285714"
"351,""Ariana Grande"",""Nicki Minaj"",""undirected"",1.11111111111111"
"352,""Charly Black"",""Daddy Yankee"",""undirected"",1.08108108108108"
"353,""Tiësto"",""Bright Sparks"",""undirected"",1.05263157894737"
"354,""Kungs"",""Ephemerals"",""undirected"",1"
"355,""Luis Fonsi"",""Daddy Yankee"",""undirected"",40"
"356,""Zayn Malik"",""Taylor Swift"",""undirected"",13.3333333333333"
"357,""The Weeknd"",""Daft Punk"",""undirected"",8"
"358,""Kygo"",""Selena Gomez"",""undirected"",6.66666666666667"
"359,""The Chainsmokers"",""Emily Warren"",""undirected"",5.71428571428571"
"360,""Katy Perry"",""Skip Marley"",""undirected"",4"
"361,""Dua Lipa"",""Martin Garrix"",""undirected"",3.63636363636364"
"362,""Enrique Iglesias"",""Descemer Bueno"",""undirected"",3.33333333333333"
"363,""Enrique Iglesias"",""Zion & Lennox"",""undirected"",3.33333333333333"
"364,""Descemer Bueno"",""Zion & Lennox"",""undirected"",3.33333333333333"
"365,""Tini"",""Sebastián Yatra"",""undirected"",2.66666666666667"
"366,""Armin Van Buuren"",""Fernando Garibay"",""undirected"",2.22222222222222"
"367,""Armin Van Buuren"",""Olaf Blackwood"",""undirected"",2.22222222222222"
"368,""Fernando Garibay"",""Olaf Blackwood"",""undirected"",2.22222222222222"
"369,""Louis Tomlinson"",""Steve Aoki"",""undirected"",1.9047619047619"
"370,""Martin Solveig"",""Ina Wroldsen"",""undirected"",1.81818181818182"
"371,""Shakira"",""Maluma"",""undirected"",1.66666666666667"
"372,""Clean Bandit"",""Anne-Marie"",""undirected"",1.53846153846154"
"373,""Clean Bandit"",""Sean Paul"",""undirected"",1.53846153846154"
"374,""Anne-Marie"",""Sean Paul"",""undirected"",1.53846153846154"
"375,""Maluma"",""Ricky Martin"",""undirected"",1.48148148148148"
"376,""Cédric Gervais"",""Chris Willis"",""undirected"",1.37931034482759"
"377,""Cédric Gervais"",""David Guetta"",""undirected"",1.37931034482759"
"378,""Chris Willis"",""David Guetta"",""undirected"",1.37931034482759"
"379,""David Guetta"",""Robin Schulz"",""undirected"",1.33333333333333"
"380,""David Guetta"",""Cheat Codes"",""undirected"",1.33333333333333"
"381,""Robin Schulz"",""Cheat Codes"",""undirected"",1.33333333333333"
"382,""Sean Paul"",""Dua Lipa"",""undirected"",1.21212121212121"
"383,""The Weeknd"",""Daft Punk"",""undirected"",1.14285714285714"
"384,""Charly Black"",""Daddy Yankee"",""undirected"",1.11111111111111"
"385,""Maroon 5"",""Kendrick Lamar"",""undirected"",1.02564102564103"
"386,""Ariana Grande"",""Nicki Minaj"",""undirected"",1"
"387,""Luis Fonsi"",""Daddy Yankee"",""undirected"",20"
"388,""The Weeknd"",""Daft Punk"",""undirected"",13.3333333333333"
"389,""Kygo"",""Selena Gomez"",""undirected"",10"
"390,""Zayn Malik"",""Taylor Swift"",""undirected"",5.71428571428571"
